L_color_image_MEAN,L_exp_image_MEAN,L_blur_image_MEAN,L_color_image_MAX,L_exp_image_MAX,L_blur_image_MAX,L_color_image_MIN,L_exp_image_MIN,L_blur_image_MIN,L_color_image_SD,L_exp_image_SD,L_blur_image_SD,L_color_face_MEAN,L_exp_face_MEAN,L_blur_face_MEAN,L_color_face_MAX,L_exp_face_MAX,L_blur_face_MAX,L_color_face_MIN,L_exp_face_MIN,L_blur_face_MIN,L_color_face_SD,L_exp_face_SD,L_blur_face_SD,label
0.025886363197928225,0.09142678591162542,0.11175669488702443,0.025763705992749564,0.051725381995695686,0.05881394723284018,0.018760990931352528,0.03943643421855128,0.0510638751371185,0.03190663187569265,0.046118521878484885,0.0450609794728904,0.06166129840283836,0.12083766486105775,0.017816965884463947,0.05711912092226394,0.09359264181312502,0.015586773879007724,0.06000518207515671,0.09740994834259499,0.016288269778949892,0.03424106240237627,0.024801427712509483,0.01460677596375444,1.0
0.025886363011560956,0.09142678571879818,0.11175669486156303,0.025716194680369564,0.049773964043198095,0.05881394723284018,0.018376803657429077,0.03908584317103675,0.05065228278462716,0.024233734347677734,0.046088054106847125,0.04659588909918282,0.056786952554007744,0.13788311443458562,0.01751008811862631,0.05821333868033535,0.10338220713945423,0.01363143050953837,0.049991321110006544,0.09480588151529219,0.011158962886279952,0.03656660971357515,0.048605650352541656,0.014013245323746579,0.0
0.012287332292516858,0.178180894131859,0.3451599509417873,0.020515297104022143,0.275029533218775,0.34511114954020516,0.02187343306969096,0.2467588052104127,0.27774760178825164,0.0163004462561068,0.09273716841310783,0.24440046700774465,0.08721969315326321,0.1932206858153321,0.061838664144188045,0.13447517769279643,0.28077346211907667,0.18194052073687442,0.22600986256169767,0.3335231963786452,0.12288917603876194,0.058128762972861805,0.03151012564803087,0.18242432625974553,1.0
0.012287331997672117,0.1781808940161866,0.3451599512351964,0.020515297104022143,0.275029533218775,0.34599812408516123,0.022309864373894473,0.24647254334755198,0.27774760178825164,0.016039449008950067,0.09229956741951006,0.246223109426843,0.09041809711826862,0.1919647227466706,0.05657286395891295,0.1417230879294072,0.33015757452741407,0.16464436196618318,0.23087556485374613,0.3793571429352766,0.10786316186372552,0.06466934261454328,0.04792487805424033,0.1859965957186884,0.0
0.09145803667575064,0.09767124727861166,0.11750029424473994,0.16766029046555292,0.273543295412698,0.13876863636094966,0.14160098491950865,0.21129919261194058,0.16875272100157715,0.2186111057669409,0.3129435065950669,0.011121848815050905,0.05791259169631668,0.06659834526919714,0.021181336761743722,0.11829555466589674,0.1871002369492019,0.08495757767328456,0.2256403281024087,0.18121576524226946,0.07224173099020002,0.05093909786551845,0.05249492890425999,0.061528036754115896,1.0
0.09129355386855456,0.09741265155535836,0.11744996589720179,0.16993461874643978,0.273543295412698,0.13876863636094966,0.14160098491950865,0.21129919261194058,0.16875272100157715,0.2259300564404838,0.31034152384577435,0.011193195039985332,0.058181139187944625,0.06100320641325698,0.014869339007954252,0.113108559304806,0.1992508291158348,0.06466290692923447,0.21455748118664988,0.16342753358473291,0.05725759697241764,0.04429801373810327,0.06955302790146362,0.04446846025597714,0.0
0.021378054695396217,0.06827102134155158,0.14260234875787184,0.04581396560909618,0.11118557106394296,0.12726300899277068,0.03703653367741485,0.09745228709752544,0.14612286810530317,0.07454358473206577,0.05460058493955105,0.021891415382326383,0.08732744387744543,0.1342281181525087,0.008754824445634192,0.119767103555508,0.19743490228810692,0.024933922947917245,0.22570715779796555,0.20816043115199642,0.018530735008228837,0.05503613277496033,0.04864997005932264,0.02016268132563137,1.0
0.021378054695397577,0.06827102134155466,0.14260234875787117,0.04581209948304801,0.11165374873459404,0.12726300899277068,0.03717232572019577,0.09745228709752544,0.1456267805903851,0.050779841390054266,0.03648496922672808,0.022299063743744827,0.08773049086792868,0.09954940759113223,0.00784530089615793,0.12516521311884193,0.1660980363825088,0.02430786954023257,0.2265395899966309,0.15759674882802532,0.015778319301672793,0.06118493259528505,0.04199950014038021,0.018904256155429944,0.0
0.0080892020470247,0.1456866694162501,0.15303878351571754,0.024969160026686255,0.25580949688833615,0.16332421772204417,0.007431948273984133,0.18432460849585056,0.12870129096478067,0.0505157395857538,0.16662214307058573,0.08868973757821148,0.03250655837596598,0.24550257626545105,0.004611976944904947,0.10551849675622116,0.7561482414886438,0.15613789095263836,0.07070617789663648,0.2135286314858444,0.005621030204323328,0.14216635032798922,0.9524251967784166,0.26572185773043494,1.0
0.008209191291551687,0.14710044889667495,0.15172279139621364,0.02443143109779072,0.25580949688833615,0.16527378854018443,0.0075642819364858125,0.1856898886259995,0.13010358595747917,0.047620306273972984,0.16147465179391776,0.09182720648314024,0.03254405279167217,0.2456058278708073,0.004515286900855212,0.11521469760357718,0.7561482414886438,0.1056081397438241,0.07070617789663648,0.2603245854413141,0.005621030204323328,0.15874928507222283,0.910178087169156,0.17563829192475583,0.0
0.013686831387584898,0.35929304317610156,0.013960106106533688,0.02724741102436931,0.7743282127136384,0.03321652632465612,0.0022714849371089306,0.7377408061986616,0.015628454109982245,0.054440838339174694,0.16832766313122588,0.03785397909126006,0.024199109137538165,0.19860518754689596,0.013946048191043186,0.07072471620325882,0.5636488137279132,0.054177209327858376,0.0637604042811797,0.3645730473896103,0.0488861264238047,0.0483361764489873,0.15747719431360807,0.024914297500891535,1.0
0.013886810703286378,0.3599530801038507,0.013168768878437726,0.02724741102436931,0.7771477255546649,0.024050186532135195,0.0016593174473216708,0.7356442404424984,0.011051187508830706,0.08312823700386465,0.1809273480623724,0.03941950578536106,0.023358951481406504,0.22325863915606345,0.005900366959498565,0.06817997180052732,0.5636488137279132,0.054177209327858376,0.0637604042811797,0.45323722651633613,0.01159900630040593,0.04628757111761619,0.12374032221310599,0.024918398807614022,0.0
0.006054419274909892,0.11612964657286891,0.03808137399093216,0.018297074587590337,0.21161687844459773,0.026166313356198023,0.00405272037528227,0.11238681280148217,0.01246879598308253,0.04043048779056675,0.19564117021709151,0.03673095024566651,0.054680277567638096,0.10991794051422414,0.010349892462549169,0.0742949968897869,0.13021067775063322,0.013451824071373674,0.08485858756158436,0.1387836942749481,0.015006837945684784,0.03298065602857097,0.03943711922664337,0.011276227636230847,1.0
